1,Therefor we meet not now,meet not
2,Marry then<comma> sweet wag<comma> when thou art king<comma> let not us that are squires of the night’s body be called thieves of the day’s beauty,let not
3,Hear you<comma> Yedward<comma> if I tarry at home and go not<comma> I’ll hang you for going,go not
5,There’s neither honesty<comma> manhood<comma> nor good fellowship in thee<comma> nor thou cam’st not of the blood royal<comma> if thou darest not stand for ten shillings,darest not
6,I then<comma> all smarting with my wounds being cold<comma> To be so pestered with a popinjay<comma> Out of my grief and my impatience Answered neglectingly I know not what— He should<comma> or he should not; for he made me mad To see him shine so brisk and smell so sweet And talk so like a waiting-gentlewoman Of guns<comma> and drums<comma> and wounds— God save the mark,know not
7,This bald unjointed chat of his<comma> my lord<comma> I answered indirectly<comma> as I said<comma> And I beseech you<comma> let not his report Come current for an accusation Betwixt my love and your high Majesty,let not
8,Then let not him be slandered with revolt,let not
9,Nay<comma> if you have not<comma> to it again,have not
10,I speak not this in estimation<comma> As what I think might be<comma> but what I know Is ruminated<comma> plotted<comma> and set down<comma> And only stays but to behold the face Of that occasion that shall bring it on,speak not
11,Sirrah<comma> if they meet not with Saint Nicholas’ clerks<comma> I’ll give thee this neck,meet not
12,Tut<comma> there are other Troyans that thou dream’st not of<comma> the which for sport sake are content to do the profession some grace<comma> that would<comma> if matters should be looked into<comma> for their own credit sake make all whole,dream’st not
13,The rascal hath removed my horse and tied him I know not where,know not
14,Well<comma> I doubt not but to die a fair death for all this<comma> if I ’scape hanging for killing that rogue,doubt not
15,If the rascal have not given me medicines to make me love him<comma> I’ll be hanged,have not
16,An I have not ballads made on you all and sung to filthy tunes<comma> let a cup of sack be my poison— when a jest is so forward<comma> and afoot too,have not
17,The thieves are all scattered<comma> and possessed with fear So strongly that they dare not meet each other,dare not
18,A weasel hath not such a deal of spleen As you are tossed with,hath not
19,I care not for thee<comma> Kate,care not
20,There lives not three good men unhanged in England<comma> and one of them is fat and grows old<comma> God help the while,lives not
21,You are straight enough in the shoulders you care not who sees your back,care not
23,I know not what you call all<comma> but if I fought not with fifty of them I am a bunch of radish,fought not
24,Pray God you have not murdered some of them,have not
25,Weep not<comma> sweet queen<comma> for trickling tears are vain,Weep not
26,And yet there is a virtuous man whom I have often noted in thy company<comma> but I know not his name,know not
28,No<comma> my good lord<comma> banish Peto<comma> banish Bardolph<comma> banish Poins<comma> but for sweet Jack Falstaff<comma> kind Jack Falstaff<comma> true Jack Falstaff<comma> valiant Jack Falstaff<comma> and therefore more valiant being as he is old Jack Falstaff<comma> banish not him thy Harry’s company<comma> banish not him thy Harry’s company,banish not
29,If I become not a cart as well as another man<comma> a plague on my bringing up,become not
30,Methinks my moiety<comma> north from Burton here<comma> In quantity equals not one of yours,equals not
31,I know not whether God will have it so For some displeasing service I have done<comma> That<comma> in His secret doom<comma> out of my blood He’ll breed revengement and a scourge for me,know not
32,An I have not forgotten what the inside of a church is made of<comma> I am a peppercorn<comma> a brewer’s horse,have not
33,I was as virtuously given as a gentleman need to be<comma> virtuous enough: swore little; diced not above seven times— a week; went to a bawdy house not above once in a quarter— of an hour; paid money that I borrowed— three or four times; lived well and in good compass; and now I live out of all order<comma> out of all compass,diced not
34,O Jesu<comma> I have heard the Prince tell him<comma> I know not how oft<comma> that that ring was copper,know not
35,Why<comma> she’s neither fish nor flesh; a man knows not where to have her,knows not
36,It will be thought By some that know not why he is away That wisdom<comma> loyalty<comma> and mere dislike Of our proceedings kept the Earl from hence,know not
37,Talk not of dying,Talk not
38,Faith<comma> for their poverty<comma> I know not where they had that<comma> and for their bareness<comma> I am sure they never learned that of me,know not
39,Stir not tonight,Stir not
40,I wonder much<comma> Being men of such great leading as you are<comma> That you foresee not what impediments Drag back our expedition,foresee not
41,Tut<comma> I came not to hear this,came not
42,And I fear<comma> Sir Michael<comma> What with the sickness of Northumberland<comma> Whose power was in the first proportion<comma> And what with Owen Glendower’s absence thence<comma> Who with them was a rated sinew too And comes not in<comma> o’erruled by prophecies<comma> I fear the power of Percy is too weak To wage an instant trial with the King,comes not
43,Why<comma> my good lord<comma> you need not fear,need not
44,Doubt not<comma> my lord<comma> they shall be well opposed,Doubt not
45,For if Lord Percy thrive not<comma> ere the King Dismiss his power he means to visit us<comma> For he hath heard of our confederacy<comma> And ’tis but wisdom to make strong against him,thrive not
46,For I protest I have not sought the day of this dislike,have not
47,You have not sought it,have not
48,But in short space It rained down fortune show’ring on your head<comma> And such a flood of greatness fell on you— What with our help<comma> what with the absent king<comma> What with the injuries of a wanton time<comma> The seeming sufferances that you had borne<comma> And the contrarious winds that held the King So long in his unlucky Irish wars That all in England did repute him dead— And from this swarm of fair advantages You took occasion to be quickly wooed To gripe the general sway into your hand<comma> Forgot your oath to us at Doncaster; And being fed by us<comma> you used us so As that ungentle gull<comma> the cuckoo’s bird<comma> Useth the sparrow— did oppress our nest<comma> Grew by our feeding to so great a bulk That even our love durst not come near your sight For fear of swallowing; but with nimble wing We were enforced for safety sake to fly Out of your sight and raise this present head<comma> Whereby we stand opposèd by such means As you yourself have forged against yourself By unkind usage<comma> dangerous countenance<comma> And violation of all faith and troth Sworn to us in your younger enterprise,durst not
49,What need I be so forward with Him that calls not on me,calls not
50,Therefore<comma> good cousin<comma> let not Harry know In any case the offer of the King,let not
51,— Arm<comma> arm with speed<comma> and<comma> fellows<comma> soldiers<comma> friends<comma> Better consider what you have to do Than I that have not well the gift of tongue Can lift your blood up with persuasion,have not
52,I thank him that he cuts me from my tale<comma> For I profess not talking,profess not
53,Nay<comma> before God<comma> Hal<comma> if Percy be alive<comma> thou gett’st not my sword; but take my pistol<comma> if thou wilt,gett’st not
54,If I mistake not<comma> thou art Harry Monmouth,mistake not
55,I am the Prince of Wales; and think not<comma> Percy<comma> To share with me in glory any more,think not
56,Two stars keep not their motion in one sphere<comma> Nor can one England brook a double reign Of Harry Percy and the Prince of Wales,keep not
57,This earth that bears thee dead Bears not alive so stout a gentleman,Bears not
58,Death hath not struck so fat a deer today<comma> Though many dearer in this bloody fray,hath not
59,To die is to be a counterfeit<comma> for he is but the counterfeit of a man who hath not the life of a man; but to counterfeit dying when a man thereby liveth is to be no counterfeit<comma> but the true and perfect image of life indeed,hath not
61,Had not churchmen prayed<comma> His thread of life had not so soon decayed,had not
62,Name not religion<comma> for thou lov’st the flesh<comma> And ne’er throughout the year to church thou go’st<comma> Except it be to pray against thy foes,Name not
63,— Instead of gold<comma> we’ll offer up our arms<comma> Since arms avail not<comma> now that Henry’s dead,avail not
64,Let not sloth dim your honors new begot,Let not
65,Here had the conquest fully been sealed up If Sir John Fastolf had not played the coward,had not
66,A base Walloon<comma> to win the Dauphin’s grace<comma> Thrust Talbot with a spear into the back<comma> Whom all France<comma> with their chief assembled strength<comma> Durst not presume to look once in the face,Durst not
67,Where be these warders that they wait not here,wait not
68,Open the gates unto the Lord Protector<comma> Or we’ll burst them open if that you come not quickly,come not
69,I myself fight not once in forty year,fight not
70,I know not where I am nor what I do,know not
71,Sheep run not half so treacherous from the wolf<comma> Or horse or oxen from the leopard<comma> As you fly from your oft-subduèd slaves,run not
72,Why ring not bells aloud throughout the town,ring not
73,Pray God she prove not masculine ere long<comma> If underneath the standard of the French She carry armor as she hath begun,prove not
74,Had all your quarters been as safely kept As that whereof I had the government<comma> We had not been thus shamefully surprised,had not
