1,And when they have the booty<comma> if you and I do not rob them<comma> cut this head off from my shoulders,do not rob
2,Zounds<comma> I will speak of him<comma> and let my soul Want mercy if I do not join with him,do not join
3,I know you wise<comma> but yet no farther wise Than Harry Percy’s wife; constant you are<comma> But yet a woman; and for secrecy No lady closer<comma> for I well believe Thou wilt not utter what thou dost not know<comma> And so far will I trust thee<comma> gentle Kate,dost not know
4,If I do not beat thee out of thy kingdom with a dagger of lath<comma> and drive all thy subjects afore thee like a flock of wild geese<comma> I’ll never wear hair on my face more,do not beat
5,For<comma> Harry<comma> now I do not speak to thee in drink<comma> but in tears; not in pleasure<comma> but in passion; not in words only<comma> but in woes also,do not speak
6,Cousin<comma> of many men I do not bear these crossings,do not bear
7,But do not use it oft<comma> let me entreat you,do not use
8,When thou ran’st up Gad’s Hill in the night to catch my horse<comma> if I did not think thou hadst been an ignis fatuus<comma> or a ball of wildfire<comma> there’s no purchase in money,did not think
9,No<comma> Sir John<comma> you do not know me<comma> Sir John,do not know
10,O<comma> I do not like that paying back,do not like
11,By my hopes<comma> This present enterprise set off his head<comma> I do not think a braver gentleman<comma> More active-valiant<comma> or more valiant-young<comma> More daring or more bold<comma> is now alive To grace this latter age with noble deeds,do not think
12,I do not need your help<comma> And God forbid a shallow scratch should drive The Prince of Wales from such a field as this<comma> Where stained nobility lies trodden on<comma> And rebels’ arms triumph in massacres,do not need
13,I did not think thee lord of such a spirit,did not think
14,Let my presumption not provoke thy wrath<comma> For I am sorry that with reverence I did not entertain thee as thou art,did not entertain
15,O fairest beauty<comma> do not fear nor fly<comma> For I will touch thee but with reverent hands,do not fear
16,Fair Margaret knows That Suffolk doth not flatter<comma> face<comma> or feign,doth not flatter
17,An you do not make him be hanged among you<comma> the gallows shall have wrong,do not make
19,Do not speak like a death’s-head; do not bid me remember mine end,do not bid
20,I did not think thou wast within hearing,did not think
21,See now whether pure fear and entire cowardice doth not make thee wrong this virtuous gentlewoman to close with us,doth not make
22,And yet<comma> for mine own part<comma> sir<comma> I do not care<comma> but rather because I am unwilling<comma> and<comma> for mine own part<comma> have a desire to stay with my friends,do not care
23,Else<comma> sir<comma> I did not care<comma> for mine own part<comma> so much,did not care
24,He doth not do it right,doth not do
25,Good faith<comma> this same young sober-blooded boy doth not love me<comma> nor a man cannot make him laugh,doth not love
26,I do not know<comma> my lord,do not know
27,I did not think Master Silence had been a man of this mettle,did not think
28,Therefore I beseech your Majesty<comma> do not cast away an honest man for a villain’s accusation,do not cast
29,And do not stand on quillets how to slay him— Be it by gins<comma> by snares<comma> by subtlety<comma> Sleeping or waking,do not stand
30,Look on me well: I have eat no meat these five days<comma> yet come thou and thy five men<comma> and if I do not leave you all as dead as a doornail<comma> I pray God I may never eat grass more,do not leave
31,That head of thine doth not become a crown; Thy hand is made to grasp a palmer’s staff<comma> And not to grace an awful princely scepter,doth not become
32,Nay<comma> do not fright us with an angry look,do not fright
33,This is my king<comma> York; I do not mistake<comma> But thou mistakes me much to think I do,do not mistake
34,An if thou dost not hide thee from the bear<comma> Now<comma> when the angry trumpet sounds alarum And dead men’s cries do fill the empty air<comma> Clifford<comma> I say<comma> come forth and fight with me; Proud northern lord<comma> Clifford of Cumberland<comma> Warwick is hoarse with calling thee to arms,dost not hide
35,Hold<comma> Clifford<comma> do not honor him so much To prick thy finger<comma> though to wound his heart,do not honor
36,But do not break your oaths<comma> for of that sin My mild entreaty shall not make you guilty,do not break
37,No<comma> by my troth<comma> I did not mean such love,did not mean
38,— And<comma> Richard<comma> do not frown upon my faults<comma> For I will henceforth be no more unconstant,do not frown
39,They that stabbed Caesar shed no blood at all<comma> Did not offend<comma> nor were not worthy blame<comma> If this foul deed were by to equal it,Did not offend
40,Come<comma> come<comma> do you think I do not know you by your excellent wit,do not know
41,If he do not dote on her upon this<comma> I will never trust my expectation,do not dote
